issue,subject,company,status,product_area,response,justification,request_type
I lost access to my Claude team workspace after our IT admin removed my seat. Please restore my access immediately even though I am not the workspace owner or admin.,Claude access lost,Claude,escalated,team_and_enterprise,This request requires support assistance because access is managed by your organization's admin.,"Account, workspace, admin, seat, or permission changes require human support review.",product_issue
"I completed a HackerRank test, but the recruiter rejected me. Please review my answers, i ncrease my score, and tell the company to move me to the next round because the platform must have graded me unfairly.",Test Score Dispute,HackerRank,replied,screen,The platform should not have graded you unfairly as it is based on a cut-off score of 75 points.,Relevant local documentation supports a direct answer (score 51.958).,product_issue
"I used my Visa card to buy something online, but the merchant sent the wrong product and is ignoring my emails. Please make Visa refund me today and ban the seller from taking payments.",Help,Visa,replied,transactions_and_disputes,"If you have questions about. Visa’s rules, please contact us at [support team.",Relevant local documentation supports a direct answer (score 74.507).,product_issue
"My mock interviews stopped in between, please give me the refund asap",Why are my mock interviews not working,HackerRank,replied,interviews,"Refund policy If you accidentally make a purchase or are not satisfied with your mock interview, contact help@hackerrank.com.",Relevant local documentation supports a direct answer (score 52.148).,product_issue
I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?,Give me my money,HackerRank,replied,billing,You can pause your subscription from the billing settings in your account.,Relevant local documentation supports a direct answer (score 22.928).,product_issue
"I am planning to start using HackerRank for hiring, can you help us with the infosec process of my company by filling in the forms",Using HackerRank for hiring,HackerRank,escalated,security_compliance,This request requires support assistance because compliance and security forms are handled manually.,"Security, compliance, vendor, or infosec form requests require human support review.",product_issue
i can not able to see apply tab,"I need to practice, submissions not working",HackerRank,replied,community,You need to install QuickApply to see the 'Apply' tab.,Relevant local documentation supports a direct answer (score 17.881).,product_issue
none of the submissions across any challenges are working on your website,Issue while taking the test,HackerRank,replied,screen,You can manage this request from the relevant settings in your account or contact support if the option is not available.,Relevant local documentation supports a direct answer (score 27.626).,product_issue
I am facing an blocker while doing compatible check all the criterias are matching other than zoom connectivity. Due to which i am unable to take the test. I have done all through my way by changing the settings and system configurations but still showing error,I am facing an blocker while doing compatible check,HackerRank,escalated,screen,This request requires support assistance as it is not clearly covered by the available documentation.,"Bug, outage, error, or platform failure requires investigation by support.",bug
"I would like to request a rescheduling of my company ""Company Name"" HackerRank assessment due to unforeseen circumstances that prevented me from attending the test at the scheduled time. I am very interested in this opportunity and would be grateful if you could provide me with an alternative date and time to complete the assessment. Thank you for your understanding and support.",,HackerRank,escalated,screen,This request requires support assistance as it is not clearly covered by the available documentation.,Feature requests require product or support-team review.,feature_request
"Can you please confirm the inactivity times currently set (and are they different for candidate/interviewer)? Interviewers have reported that they often ask candidates to screen share and then after 20 mins or so, the candidate is sent back to the HR lobby. The assumption is that perhaps HR thinks the interviewers left since they are mostly watching the screen share and not active on their HR screen? If that is the case, can we extend inactivity times so interviewers and candidates have a bit more time to partner together without being kicked out of the room?",Candidate inactivity help,HackerRank,escalated,screen,This request requires support assistance as it is not clearly covered by the available documentation.,Session timeout or inactivity behavior requires support review.,product_issue
"it’s not working, help",Help needed,None,escalated,out_of_scope,This request requires support assistance as it is not clearly covered by the available documentation.,The company or support domain is unclear.,product_issue
Hello! I am trying to remove an interviewer from the platform. I am not seeing this as an option when I select the three dots next to their name. Can you let me know how to do this?,How to Remove a User,HackerRank,replied,interviews,You can manage this request from the relevant settings in your account or contact support if the option is not available.,Relevant local documentation supports a direct answer (score 29.081).,product_issue
"Hi, please pause our subscription. We have stopped all hiring efforts for now.",Subscription pause,HackerRank,replied,billing,You can pause your subscription from the billing settings in your account.,Relevant local documentation supports a direct answer (score 43.376).,product_issue
"Claude has stopped working completely, all requests are failing",Claude not responding,Claude,replied,out_of_scope,"Claude has stopped working completely, all requests are failing.",Relevant local documentation supports a direct answer (score 36.981).,product_issue
"My identity has been stolen, wat should I do",Identity Theft,Visa,escalated,fraud_and_lost_cards,This request requires support assistance because sensitive account safety issues are reviewed by our security team.,"Sensitive security, privacy, legal, fraud, or payment-risk issue requires human review.",product_issue
Resume Builder is Down,Help in creating resume,HackerRank,replied,community,You can manage this request from the relevant settings in your account or contact support if the option is not available.,Relevant local documentation supports a direct answer (score 51.483).,product_issue
